FileName,ProductName,Validation
RV_20240405_clothing_output_50_sudipta.json,B00I84FOHE,Valid
RV_20240405_clothing_output_50_sudipta.json,B0189EBMZU,Valid
RV_20240405_clothing_output_50_sudipta.json,B00C7DVZZC,Error
